trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999}",35,0,-258.9105159353212,"{0: 12, 1: 7, 2: 12, 3: 2, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.998}",20,0,-192.16691433183328,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.997}",20,0,-46.719881430094446,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.996}",20,0,-118.24581162091177,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.995}",20,10,-42.43880199739655,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.994}",20,0,-65.65343172167229,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.993}",20,0,-109.76806296950123,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.992}",35,0,-300.4950277408417,"{0: 13, 1: 8, 2: 7, 3: 4, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.991}",25,0,-142.74987725159988,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.99}",25,0,-193.48744220717492,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.2, 'e': 0.989}",20,0,-77.74380931974912,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.988}",25,0,-132.29627187251452,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.987}",20,0,-128.72016312120417,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.986}",25,8,-65.20304706529134,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.2, 'e': 0.985}",20,0,-206.46519832385889,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.984}",25,0,-160.4622685706687,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.983}",20,0,-153.23156764872124,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.982}",20,0,-96.29078270025211,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.981}",20,10,1.2788464565021667,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
