trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.49098291693775,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.07828726388811,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.10321634978935,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-74.02214030841266,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.49985872158702,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,4,-49.90914229836058,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.66882096995852,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,12,-5.503016656892471,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.67048392069114,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.6581658666595,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.88462600325494,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.5950423413167,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.43120370023115,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.7906358853499,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.20067683759974,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.83892052952769,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.45814915251736,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.62466700515209,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.67471194059476,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.0403017680852,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-275.00505285374584,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.63090517402577,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.671522167864,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-180.3567941811266,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.39817381678763,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.76888065907333,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-16.500722693359076,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.7119610660821,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.02677078055643,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,5,-37.222871068518224,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
